,Mkt,Ret_NASDAQ CEGEI,Ret^SP500_auto,Ret_Kensho_evi,Ret_DJ usogi,Ret_SP500_ei
Statistic,6028.099980172735,891.6445842002879,1119.7349877610475,561.9885324212004,9904.8938845557,8920.116046963054
p-value,0.0,2.409010158938619e-194,7.122571386564921e-244,9.241463196047555e-123,0.0,0.0
